"SKU","Category","Brand","Model","Item Name","Recently Purchase","Cost","Available","Total Sale"
"N0WAR","ACCESSORIES","Headphone & Speakers","Audio Accessories","Microlab  M-500U ","31 May 2024","41","0","0"
"0CFSX","ACCESSORIES","Headphone & Speakers","Audio Accessories","Microlab  Speaker B70","31 May 2024","33","0","0"
"JTFND","ACCESSORIES","Headphone & Speakers","Audio Accessories","Microlab  Speaker B72","31 May 2024","36","0","0"
"1V4TY","ACCESSORIES","Headphone & Speakers","Audio Accessories","Microlab  Speaker B77BT","31 May 2024","52","0","1"
"YDH9Z","ACCESSORIES","Headphone & Speakers","Audio Accessories","Microlab  Speaker BR-2600M","31 May 2024","32","0","1"
"ITN7B","PC PART","SSD","SSD M2 PCIe","ADATA LEGEND 900 Gen 4.0 2TB","06 Jun 2024","118","0","0"
"B4P75","ACCESSORIES","Headphone & Speakers","Audio Accessories","Headset  Lenovo Thinkplus G82B","19 Jun 2024","10","0","0"
"JHUTL","ACCESSORIES","Headphone & Speakers","Audio Accessories","Headset  Lenovo Thinkplus G81B","19 Jun 2024","9","0","2"
"28PMB","ACCESSORIES","Headphone & Speakers","Audio Accessories","Speaker HP DHE-6010","19 Jun 2024","9","0","0"
"U7KV3","ACCESSORIES","Headphone & Speakers","Audio Accessories","Speaker  Lenovo TS38","19 Jun 2024","7","0","1"
"W6K0G","ACCESSORIES","Headphone & Speakers","Audio Accessories","Headset  XPG PRECOG S-BKCWW","19 Jun 2024","23","0","0"
"25YGZ","MONITOR","Gigabyte Monitor","GIGABYTE Monitor","GIGABYTE  M32QC 32"" Monitor","19 Jun 2024","270","0","0"
"5AS8G","MONITOR","Gigabyte Monitor","GIGABYTE Monitor","GIGABYTE  GS27f A 27"" Monitor","19 Jun 2024","153","0","0"
"U9XYN","ACCESSORIES","UGREEN","Audio Accessories","UGREEN Power Adapter GaN Fast Charger 65W","19 Jun 2024","30","0","0"
"56K83","ACCESSORIES","Mouse ","Mouse","Wireless  Mouse Fude E311 Black","26 Jun 2024","2","0","0"
"TUW5V","ACCESSORIES","Mouse ","Mouse","Wireless  FD V1","26 Jun 2024","3.3","0","0"
"C9N6I","ACCESSORIES","Mouse ","Mouse","AULA Mouse AM205 UBS Wireless","26 Jun 2024","3.3","0","0"
