"SKU","Category","Brand","Model","Item Name","Recently Purchase","Cost","Available","Total Sale"
"T563W","ACCESSORIES","Mouse ","Mouse","Aula Wireless Mouse Gaming","not set","0","0","2"
"8493N","ACCESSORIES","Webcam","Webcam","Logitech C270 HD Webcam","not set","0","0","0"
"not set","not set","not set","not set","Luminous C30 2K QHD Webcam  Fantech","not set","0","0","0"
"not set","not set","not set","not set","Apple 30W Power Adapter US","not set","0","0","0"
"not set","not set","not set","not set","Samsung 35W Power Adapter ","not set","0","0","0"
"VIQ8H","APPLE","Power & Cables","Power Cable","Charger Cable Magsafe 2 To Usb C","not set","0","0","0"
"not set","not set","not set","not set"," ADATA 1TB External SSD","not set","0","0","0"
"Q0UM1","ACCESSORIES","External HDD","External Drive","SE800 ADATA External SSD  1000GB","03 Feb 2024","64","0","4"
"RCMGS","ACCESSORIES","UGREEN","Display & Video","UGREEN USB Hub 4 in 1 USB 3.0","not set","0","0","0"
"not set","not set","not set","not set","10 in 1  HDMI ,VGA , Ethernet","not set","0","0","2"
"2V3PM","ACCESSORIES","UGREEN","Display & Video","UGREEN USB-C Hub 6 in 1 SD Card + HDMI + USB","not set","0","0","10"
"not set","not set","not set","not set","SSK SC112 Type-C Multi-Function Original","not set","0","0","0"
"FWNSG","ACCESSORIES","Display / Audio","Display & Video","ORICO USB-C Hub 5 in 1 HDMI+VGA+USB+Audio ","not set","0","0","0"
"not set","not set","not set","not set","HP MicroSd mi310 64GB","not set","0","0","0"
"not set","not set","not set","not set","HP MicroSD mi310 128G","not set","0","0","0"
"not set","not set","not set","not set","32GB","not set","0","-4","0"
"not set","not set","not set","not set","Apple 45W MagSafe COPY","not set","0","1","0"
"not set","not set","not set","not set","Apple 60W MagSafe 2 COPY","not set","0","1","0"
"not set","not set","not set","not set","Apple 60W MagSafe 1 COPY","not set","0","0","0"
"VZ1BN","ACCESSORIES","Display / Audio","Display & Video","DTECH Display Adapter DT-7144 4K*2K HDMI Split 2","not set","0","0","1"
"not set","not set","not set","not set","Apple 61W USB-C Power ","not set","0","0","0"
"not set","not set","not set","not set","61W USB-C Power COPY","not set","0","0","0"
"not set","not set","not set","not set","30W USB-C Power COPY","not set","0","0","0"
"QGST4","ACCESSORIES","Display / Audio","Video Accessories","DTECH Display Cable HDMI to HDMI Cable 5M","not set","0","0","0"
"not set","not set","not set","not set","Comfast CF-AX181 Pro AX3000","not set","0","0","0"
"KBWGO","ACCESSORIES","Display / Audio","Video Accessories","DTECH Display Cable  HDMI to HDMI Cable 3M","not set","0","0","8"
"7QX3W","ACCESSORIES","Display / Audio","Video Accessories","DTECH Display Cable  HDMI to HDMI 10M","not set","0","0","1"
"0H2IW","ACCESSORIES","Display / Audio","Audio Accessories","UGREEN Micro Phone Desktop USB Microphone Kit","01 Mar 2024","18","0","2"
"48YTF","ACCESSORIES","Headphone & Speakers","Audio Accessories","EDIFIER K830","not set","0","-2","0"
"TS5LV","ACCESSORIES","Headphone & Speakers","Audio Accessories","EDIFIER   W800BT Plus","not set","0","0","0"
"TGB16","ACCESSORIES","Headphone & Speakers","Audio Accessories","Fantech Official VALOR MH86 SPACE EDITION","not set","0","0","0"
"not set","not set","not set","not set","Edifier G4 TE Gaming Headset for PC","not set","0","0","0"
"not set","not set","not set","not set","HD710 Pro External Hard Drive","not set","0","0","0"
"not set","not set","not set","not set","SSK SHE-C325 Type-C SSD Enclos","not set","0","0","0"
"X6PQ5","ACCESSORIES","USB HUB","USB-C HUB","Transcend Card Reader   RDF9 ","not set","0","0","0"
"not set","not set","not set","not set","5.0 Bluetooth Adapter","not set","0","0","0"
"not set","not set","not set","not set","4 Port USB 3. Multi High Speed","not set","0","0","0"
"not set","not set","not set","not set","HDMI to VGA Female Video","not set","0","0","0"
"not set","not set","not set","not set","MV-01 LAVALIER MICROPHONE","not set","0","0","0"
"4TCO9","ACCESSORIES","Display / Audio","Display & Video","Display Adapter USB C to VGA Cable","not set","0","0","0"
"4KY31","ACCESSORIES","UGREEN","Video Accessories","UGREEN Display Cable USB C to HDMI Cable","19 Apr 2024","14","0","4"
"UWPKF","ACCESSORIES","UGREEN","Video Accessories","UGREEN Display Cable USB C To Display port ","not set","0","0","0"
"9FXBN","ACCESSORIES","UGREEN","Audio Accessories","UGREEN Audio Cable Audio 3.5mm to 3.5mm 2m","19 Apr 2024","3","0","2"
"ZDRMI","ACCESSORIES","UGREEN","Audio Accessories","UGREEN Audio Cable Audio 3.5mm to 3.5mm Cables 1m ","not set","0","-1","0"
"6JZR0","ACCESSORIES","Display / Audio","Display & Video","Display Adapter Mini Dp to DP","not set","0","0","0"
"5492V","ACCESSORIES","Display / Audio","Display & Video","Display Cable Mini DP to HDMI","not set","0","0","1"
"QYP8M","ACCESSORIES","Display / Audio","Video Accessories","Display Cable DVI to DVI 1.5M","not set","0","0","0"
"67QIY","ACCESSORIES","External HDD","Enclosure","ORICO Enclosure 3.5 inch USB3.0 Hard Drive","not set","0","0","0"
"not set","not set","not set","not set","GIGABYTE B560M DS3H LGA 1200 Support","not set","0","0","0"
"XLIPT","ACCESSORIES","Headphone & Speakers","Audio Accessories","HP DHS-2111s  2.1 Speakers ","not set","0","0","0"
"069O1","ACCESSORIES","Headphone & Speakers","Audio Accessories","HP DHS-2101   2.0 USB Portable","not set","0","0","6"
"5APZU","ACCESSORIES","Headphone & Speakers","Audio Accessories","EDIFIER  USB K815","not set","0","0","0"
"QIJ57","ACCESSORIES","Elephant","Screen","Elephant for iP 14 Pro Max Elephant for iP 14 Pro Max","not set","0","0","4"
"QUHE0","ACCESSORIES","Elephant","Screen","Elephant for iP 14 Pro  Elephant for iP 14 Pro ","not set","0","0","0"
"AUM9J","ACCESSORIES","Elephant","Screen","Elephant for iP 13 Pro Max Elephant for iP 13 Pro Max","not set","0","0","0"
"59SUE","ACCESSORIES","Elephant","Screen","Elephant for iP 13 Pro  Elephant for iP 13 Pro ","not set","0","0","0"
"C1TF2","ACCESSORIES","Elephant","Screen","Elephant for iP 13  Elephant for iP 13 ","not set","0","0","0"
"201KZ","ACCESSORIES","Elephant","Screen","Elephant for iP 12 Pro Max Elephant for iP 12 Pro Max","not set","0","0","0"
"4RA20","ACCESSORIES","Elephant","Screen","Elephant for iP 7 Plus White Elephant for iP 7 Plus White","not set","0","0","0"
"NHOPU","ACCESSORIES","Elephant","Screen","Elephant for iP 7 Plus Black Elephant for iP 7 Plus Black","not set","0","0","1"
"GARVN","ACCESSORIES","Elephant","Screen","Elephant for iP 12 Elephant for iP 12","not set","0","0","0"
"IJCD4","ACCESSORIES","Elephant","Screen","Elephant for iP 11 Pro Max Elephant for iP 11 Pro Max","not set","0","0","0"
"7U9KB","ACCESSORIES","Elephant","Screen","Elephant for iP 11 6.1 Elephant for iP 11 6.1","not set","0","0","2"
"W6J8S","ACCESSORIES","Elephant","Screen","Elephant for iP 11 Pro 5.8 Elephant for iP 11 Pro 5.8","not set","0","0","1"
"M2PZF","ACCESSORIES","Elephant","Screen Private","Elephant for iP 11 Private Elephant for iP 11 Private","not set","0","0","0"
"P6JBS","ACCESSORIES","Elephant","Screen Private","Elephant for iP Xs Private Elephant for iP Xs Private","not set","0","0","0"
"EPXLG","ACCESSORIES","Elephant","Screen Private","Elephant for iP 11 PM Private Elephant for iP 11 PM Private","not set","0","0","1"
"BA1PE","ACCESSORIES","Elephant","Screen Private","Elephant for iP 13 Private Elephant for iP 13 Private","not set","0","0","0"
"VU6K4","ACCESSORIES","Elephant","Screen Private","Elephant for iP 13 PM  Private Elephant for iP 13 PM  Private","not set","0","0","0"
"MOTW7","ACCESSORIES","Elephant","Screen Private","Elephant for iP 12 PM  Private Elephant for iP 12 PM  Private","not set","0","0","0"
"GDRZC","ACCESSORIES","Xundd","Case","Xundd for iP 14 PM   Xundd for iP 14 PM  ","not set","0","0","0"
"12BJT","ACCESSORIES","Xundd","Case","Xundd for iP 12 PM   Xundd for iP 12 PM  ","not set","0","0","0"
"4TDMA","ACCESSORIES","Xundd","Case","Xundd for iP 14 Plus Xundd for iP 14 Plus","not set","0","0","0"
"QEGUS","ACCESSORIES","Xundd","Case","Xundd for iP 14  Xundd for iP 14 ","not set","0","0","0"
"WNM57","ACCESSORIES","Xundd","Case","Xundd for iP 13 Pro Xundd for iP 13 Pro","not set","0","0","0"
"13GFT","ACCESSORIES","Xundd","Case","Xundd for iP 11  Xundd for iP 11 ","not set","0","0","1"
"42UJ0","ACCESSORIES","Xundd","Case","Xundd for iP Xs Xundd for iP Xs","not set","0","0","1"
"FET8K","ACCESSORIES","Xundd","Case","Xundd for iP Xs Max Xundd for iP Xs Max","not set","0","0","1"
"2XQ3J","ACCESSORIES","Xundd","Case","Xundd for iP 13 Xundd for iP 13","not set","0","0","0"
"C0SHQ","ACCESSORIES","Xundd","Case","Xundd for iP 13 Pro Max Xundd for iP 13 Pro Max","not set","0","0","1"
"I1VNY","ACCESSORIES","Xundd","Case","Xundd for iP 13 7 Xundd for iP 13 7","not set","0","0","0"
"GTKIH","ACCESSORIES","Xundd","Case","Xundd for iP 11 Pro Max Xundd for iP 11 Pro Max","not set","0","0","0"
"XR62M","ACCESSORIES","Xundd","Case","Xundd for iP 7 Plus Xundd for iP 7 Plus","not set","0","0","0"
"ZPQNB","ACCESSORIES","Rock","Case","Rock for iP 12 Pro Max Clear Rock for iP 12 Pro Max Clear","not set","0","0","0"
"8EGU5","ACCESSORIES","Rock","Case","Rock for iP 14  Clear Rock for iP 14  Clear","not set","0","0","0"
"HVIT1","ACCESSORIES","Rock","Case","Rock for iP 14 PM Clear Rock for iP 14 PM Clear","not set","0","0","0"
"6ZHFQ","ACCESSORIES","Rock","Case","Rock for iP 14 Pro Clear Rock for iP 14 Pro Clear","not set","0","0","0"
"J4NGE","ACCESSORIES","Rock","Case","Rock for iP 13 Pro Max Clear Rock for iP 13 Pro Max Clear","not set","0","0","0"
"8G5AR","ACCESSORIES","Rock","Case","Rock for iP 13 Pro Color Rock for iP 13 Pro Color","not set","0","0","0"
"5QG34","ACCESSORIES","Rock","Case","Rock for iP 12 Pro Max Color Rock for iP 12 Pro Max Color","not set","0","0","0"
"TUR7P","ACCESSORIES","Rock","Case","Rock for iP 13 Pro Max Color Rock for iP 13 Pro Max Color","not set","0","0","1"
"JECMQ","ACCESSORIES","Rock","Case","Rock for iP 14 Pro Max Color Rock for iP 14 Pro Max Color","not set","0","0","0"
"INVST","ACCESSORIES","Rock","Case","Rock for iP 14 Pro Max  Rock for iP 14 Pro Max ","not set","0","0","0"
"RV0IZ","PC PART","RAM","RAM DDR3 / DDR4 Desktop","Kinston DDR4 8GB 2400 Kinston DDR4 8GB 2400","not set","0","0","0"
"1UTN8","PC PART","RAM","RAM DDR3 / DDR4 Desktop","Samsung DDR5 16GB 4800 Samsung DDR5 16GB 4800","not set","0","0","0"
"not set","not set","not set","not set","AULA F3287 Wired TKL Rainbow RGB ","not set","0","0","0"
"A371C","ACCESSORIES","Keyboard","Keyboard","Keyboard - Mouse RGB Aigo Keyboard ","not set","0","0","1"
"not set","not set","not set","not set","Xiaomi Mi Desktop Monitor 27 ","not set","0","0","0"
"not set","not set","not set","not set","Xiaomi Mi Desktop Monitor 24","not set","0","0","0"
"not set","not set","not set","not set","Xiaomi Mi Monitor 24 Pro","not set","0","0","0"
"not set","not set","not set","not set","22-Inch","not set","0","0","2"
"UPQOY","ACCESSORIES","Keyboard","Keyboard","Logitech  MX Key","not set","0","0","0"
"U3ETZ","ACCESSORIES","Mouse ","Mouse","Logitech MX Master 3","not set","0","0","0"
"not set","not set","not set","not set","LENOVO Idea pad Duet 3i","not set","0","0","0"
"not set","not set","not set","not set","Samsung Galaxy Book Go","not set","0","1","0"
"not set","not set","not set","not set","ThinkPad E480 | Essential 14","not set","0","-2","0"
"not set","not set","not set","not set","EarPods with Lightning ","not set","0","0","0"
"RHZP2","APPLE","Power & Cables","EarPod","Apple EarPod Headphone 3.5mm ","not set","0","0","3"
"not set","not set","not set","not set","ROG Strix Scar 17 G733ZW","not set","0","0","0"
"not set","not set","not set","not set","AERO Gigabyte 15 4K I7-11th","not set","0","0","0"
"QKN5R","not set","MacBook Pro","MacBook Pro","MacBook Pro 13.3-inch Late 2012  i5 | 8GB | 256GB ","not set","0","0","0"
"not set","not set","not set","not set","MacBook Pro 13.3-inch 2015 98% i5/8/128GB","not set","0","0","0"
"not set","not set","not set","not set","Asus VivoBook 15 11th i3/8/256GB","not set","0","-1","0"
"not set","not set","not set","not set","Dell Monitor 24 U2419HC 99%","not set","0","0","0"
"GSELT","APPLE","iPhone","iPhone 15 Series","iPhone 15 Pro Max  256GB | Natural","not set","0","16","0"
"126EW","APPLE","Power & Cables","Power Cable","Apple Power Adapter  Magsafe 1 45W Grade-A","not set","0","0","0"
"not set","not set","not set","not set","Apple 85W MagSafe 2 COPY","not set","0","6","0"
"not set","not set","not set","not set","Apple 85W MagSafe 1 COPY","not set","0","0","0"
"not set","not set","not set","not set","Samsung Odyssey Neo G9 Curved ","not set","0","0","0"
"not set","not set","not set","not set","CHINA DHP All In One 24""","not set","0","2","0"
"not set","not set","not set","not set","Dell XPS 13-9350 13.3-Inch","not set","0","1","0"
"not set","not set","not set","not set","MacBook Pro 13.3 2016 Touch Bar Gray 99% i5/8/256G","not set","0","0","0"
"not set","not set","not set","not set","MacBook Pro 13.3 2020 M1 CPO M1/8/256GB","not set","0","10","0"
"W8AYU","ACCESSORIES","Mouse ","Mouse","FD Mouse I360T Bluetooth + UBS Wireless","19 Apr 2024","6.5","-1","19"
"A3DZ9","ACCESSORIES","Display / Audio","Display & Video","Display Adapter DP to VGA Female Video","not set","0","16","1"
"not set","not set","not set","not set","Desktop Clone Ryzen 7 3700X","not set","0","15","0"
"not set","not set","not set","not set"," MacBook 13"" 2016-2022","not set","0","5","0"
"not set","not set","not set","not set","JCPal Screen Protector for MacBook 14"" 2021","not set","0","0","0"
"not set","not set","not set","not set"," MacBook 16"" 2021","not set","0","0","0"
"not set","not set","not set","not set","XPG D50 3200Mhz RGB 8G x 2","not set","0","0","0"
"not set","not set","not set","not set","Vivobook Pro 14 OLED | K3400PA","not set","0","0","0"
"not set","not set","not set","not set","ASUS - ROG Flow Z13 GZ301ZE-LD223W 1A-BLACK","not set","0","0","0"
"TXGYN","ACCESSORIES","USB Flash","USB Flash Drive","HIKVISION M210S 3.2 16GB ","not set","0","0","3"
"not set","not set","not set","not set","MacBook Pro 13.3-inch 2018 95%","not set","0","0","0"
"not set","not set","not set","not set","Apple Mac mini 2020 99% M1/8/256GB","not set","0","0","0"
"not set","not set","not set","not set","Antec Atom V550 550 Watts","not set","0","0","0"
"not set","not set","not set","not set","24"" iMac® 4.5K display","not set","0","0","0"
"not set","not set","not set","not set","MacBook Pro 13.3 2020 i5 99% i5/8/256GB","not set","0","0","0"
"not set","not set","not set","not set","MacBook Pro 13.3-inch 2015 98% i5/8/512GB","not set","0","2","0"
"not set","not set","not set","not set","Lenovo ThinkPad T460s i5/8/512GB","not set","0","0","0"
"not set","not set","not set","not set","Dell Inspiron 15 3511 100% i5/8G/512GB","not set","0","0","0"
"not set","not set","not set","not set","ACER Aspire 3 15"" 2022 i3/4/256GB","not set","0","0","0"
"not set","not set","not set","not set","ACER Aspire 3 15"" 2022 i5/8/512GB","not set","0","0","0"
"Y83U2","PC PART","GPU","VGA GTX / RTX","MSI USED VGA 1660s 6GB","not set","0","0","0"
"EYCXN","ACCESSORIES","UGREEN","Laptop Stand","UGREEN Laptop Stand  Portable 13~15-inch","06 May 2024","9.5","0","30"
"TK751","ACCESSORIES","Headphone & Speakers","Audio Accessories"," EDIFIER   K815 USB","not set","0","0","0"
"MA90D","ACCESSORIES","Network","Wi-Fi Network","Comfast   CF-AX181 AX3000 ","not set","0","0","5"
"IZO0Y","ACCESSORIES","Mouse ","Mouse","Logitech  M185 Wireless Mouse","not set","0","0","0"
"not set","not set","not set","not set","MacBook Air 11""/13"" 2009-2017 Keyboard Replacement","not set","0","0","0"
"not set","not set","not set","not set","MacBook Pro 13""/15"" 2011-2012 Keybaord Replacement","not set","0","0","0"
"not set","not set","not set","not set","MacBook Pro 13""/15"" 2011-2012 Speaker Replacement","not set","0","0","0"
"not set","not set","not set","not set","MacBook Pro 2014-2015 Battery Replacement","not set","0","0","2"
"not set","not set","not set","not set","MacBook Pro 2014-2105 15"" Keyboard Replacement","not set","0","0","0"
"not set","not set","not set","not set","Surface Laptop 3 15"" | R5 2K (New) R5/16/256GB","not set","0","0","0"
"5E0YV","ACCESSORIES","UGREEN","Display & Video","UGREEN USB-C HUB  5 in 1 USB-C  HDMI + USB 3.0","not set","0","0","1"
"not set","not set","not set","not set","Ugreen USB-C 2.5 inch HDD Enclosure ","not set","0","0","0"
"MXKC8","ACCESSORIES","External HDD","Enclosure","UGREEN Enclosure  USB-A 2.5 inch HDD","not set","0","0","0"
"0W391","ACCESSORIES","UGREEN","Enclosure","UGREEN Enclosure  USB-A 3.5 Dock HDD","not set","0","0","2"
"not set","not set","not set","not set","Samsung 980 PRO SSD 1TB Gen 4.0","not set","0","0","0"
"31SQN","ACCESSORIES","External HDD","Enclosure","Orico Enclosure  USB-C 2.5 inch HDD","not set","0","0","8"
"SVCY2","ACCESSORIES","External HDD","Enclosure","Orico Enclosure M.2 NVMe SSD housing 10G","not set","0","0","3"
"not set","not set","not set","not set","EarPods with Lightning no Box","not set","0","4","0"
"8KBP9","ACCESSORIES","Elephant","Screen Private","Elephant for iP 14 PM  Private Elephant for iP 14 PM  Private","not set","0","0","0"
"not set","not set","not set","not set","Dell XPS 13 99% (Used) i5/8/256GB","not set","0","0","0"
"UXFBG","ACCESSORIES","Mouse ","Mouse","Wireless  Mouse Fude i210","not set","0","1","1"
"1EGI5","ACCESSORIES","Keyboard","Keyboard","XPG INFAREX  K10 Gaming Keyboard","not set","0","0","2"
"9KH84","ACCESSORIES","Mouse ","Mouse","XPG INFAREX  M20 Gaming Mouse RGB","not set","0","0","0"
"not set","not set","not set","not set","MacBook Air13.3-inch 2020 99% M1/8/256GB","not set","0","0","0"
"not set","not set","not set","not set","MacBook Air 2015 13.3 99% i5/8/512GB","not set","0","0","0"
"not set","not set","not set","not set","24"" iMac® 4.5K display 8-8 8GB/256GB 99%","not set","0","0","0"
"not set","not set","not set","not set","M1 Chip | 8GB | SSD 512GB","not set","0","0","0"
"not set","not set","not set","not set","LEVEN JS600 128GB","not set","0","0","0"
"7KDX8","PC PART","RAM","Gaming RAM RGB","XPG LANCER DDR5  16GB","not set","0","0","0"
"2MQEI","ACCESSORIES","USB HUB","USB-C HUB","Ugreen  Ugreen 2-in-1 USB 3.0 SD/TF Card","not set","0","0","0"
"O8CJN","ACCESSORIES","UGREEN","USB-C HUB","UGREEN USB C Hub   5 in 1 Type C 3.1 to 4K HDMI","not set","0","11","0"
"GPBJM","ACCESSORIES","UGREEN","Display & Video","UGREEN USB-C Hub  USB-C to HDMI+VGA Converter","01 Mar 2024","19","1","12"
"59C0F","ACCESSORIES","Keyboard","Keyboard","APOINT Wires Set   Combo Keyboard A10","01 Feb 2024","5.2","0","3"
"J0MU1","ACCESSORIES","Keyboard","Keyboard","FD Wireless keyboad Combo  EK785 2.4G Black","not set","0","0","1"
"not set","not set","not set","not set","MacBook Air 2017 13.3 99% i5/8/256GB","not set","0","0","0"
"not set","not set","not set","not set","HP EliteBook 840 G5 99% (Used) i5/8/256GB","not set","0","0","0"
"not set","not set","not set","not set","MSI GF63 Gaming 99% (Used) i7/16/512GB","not set","0","0","0"
"KW298","ACCESSORIES","Headphone & Speakers","Audio Accessories","Microlab  M660BT","not set","0","0","4"
"U94AE","ACCESSORIES","Headphone & Speakers","Audio Accessories","Microlab  M106BT Speaker (10watt)","not set","0","0","4"
"6FZPR","ACCESSORIES","Headphone & Speakers","Audio Accessories","Microlab B19","not set","0","0","0"
"not set","not set","not set","not set","MSI GF63 Thin i5 10th/16G/512GB","not set","0","0","0"
"not set","not set","not set","not set","TruPower TP300 650VA","not set","0","0","0"
"not set","not set","not set","not set","TruPower TP1250VA","not set","0","0","0"
"W5X1T","ACCESSORIES","USB Flash","USB Flash Drive","Kingston DataTraveller  32GB","not set","0","0","7"
"not set","not set","not set","not set","Kingston NV2 1TB M.2 PCIe Gen 4.0","not set","0","0","0"
"not set","not set","not set","not set","XPG DDR5 5200Mhz RGB 16GBx2","not set","0","0","0"
"not set","not set","not set","not set","Kingston NV2 250GB M.2 PCIe Gen4","not set","0","-4","0"
"IK0JD","APPLE","Power & Cables","Power Cable","Apple 3.5 mm Headphone Jack","not set","0","-1","2"
"not set","not set","not set","not set","Kingston NV2 512GB M.2 PCIe Gen4 ","not set","0","0","0"
"not set","not set","not set","not set","Mouse Fude E311","not set","0","0","0"
"not set","not set","not set","not set","Vivobook S15 | S533EA i5 11th/8G/512GB","not set","0","0","0"
"not set","not set","not set","not set","256GB","not set","0","0","1"
"not set","not set","not set","not set","XPG SX6000 Pro PCIe 1TB NVMe 3.0x4","not set","0","0","0"
"SZPNK","ACCESSORIES","Headphone & Speakers","Audio Accessories"," ROCK Space  O2 HiFi Bluetooth 5.0 Original","not set","0","0","0"
"7U6IB","ACCESSORIES","Xundd","Case","Watch Ultra 49mm Screen Protector  Watch Ultra 49mm Screen Protector ","not set","0","0","0"
"SAUZ2","ACCESSORIES","Network","Network Cable"," UGREEN Ethernet  Cable 1.5M","20 May 2024","2.5","0","1"
"not set","not set","not set","not set"," UGREEN Ethernet Cable 3M","not set","0","0","0"
"not set","not set","not set","not set"," Cable 5M","not set","0","0","1"
"not set","not set","not set","not set"," UGREEN Ethernet Cable 8M","not set","0","3","0"
"not set","not set","not set","not set"," UGREEN Ethernet Cable 10M","not set","0","0","0"
"not set","not set","not set","not set"," UGREEN Ethernet Cable 15M","not set","0","0","0"
"not set","not set","not set","not set"," UGREEN Ethernet Cable 20M","not set","0","0","1"
"L19K5","ACCESSORIES","UGREEN","Audio Accessories","UGREEN Power Cable USB-C TO LIGHTNING 1.5M White","not set","0","0","1"
"F78TU","ACCESSORIES","UGREEN","Audio Accessories","UGREEN Power Cable USB-C TO LIGHTNING 1M Black","not set","0","0","2"
"W3ENV","ACCESSORIES","UGREEN","Audio Accessories","UGREEN Power Cable USB-A TO LIGHTNING 1M","not set","0","0","2"
"C6UOW","ACCESSORIES","UGREEN","Audio Accessories","UGREEN Power Cable USB-C TO USB-C Male 1M","not set","0","0","0"
"4NT15","ACCESSORIES","UGREEN","Audio Accessories","UGREEN Power Cable USB-C TO USB-C Male 2M","not set","0","0","3"
"UWL41","ACCESSORIES","UGREEN","Audio Accessories","UGREEN Power Adapter Mini PD Adapter 20W","not set","0","0","1"
"J86YS","ACCESSORIES","UGREEN","Audio Accessories","UGREEN Power Adapter GaN PD Adapter USB-C 65W","not set","0","0","2"
"5KEYJ","ACCESSORIES","UGREEN","Audio Accessories","UGREEN FM Transmitter Bluetooth 5.0","not set","0","0","0"
"VF240","ACCESSORIES","UGREEN","Audio Accessories","UGREEN Power Adapter Dual USB-C PD Car Charger","16 Jan 2024","10.5","0","1"
"IRKG1","ACCESSORIES","UGREEN","Audio Accessories","UGREEN Wireless Presenter","not set","0","0","1"
"MAW2V","ACCESSORIES","Display / Audio","Display & Video","UGREEN Display Adapter Mini DP to HDMI + VGA","not set","0","0","0"
"T4GN9","ACCESSORIES","UGREEN","Display & Video","UGREEN Display Cable HDMI 2.1 to HDMI 1.5M Original","not set","0","0","1"
"B82IQ","APPLE","MacBook Pro","MacBook Pro","MacBook Pro 14-inch M3 Pro 2023 M3 Pro | 8GB | 512GB | Black","not set","0","0","1"
"not set","not set","not set","not set","Acer Gateway GWTN141 2022 i5/16GB/500GB","not set","0","0","0"
"not set","not set","not set","not set","Acer Gateway 2022 i3/4GB/256GB","not set","0","0","0"
"not set","not set","not set","not set","XPG Power Supply 650W","not set","0","0","0"
"43G0C","PC PART","Power Supply","Power Supply ","Orema Power Supply  500W","19 Jun 2024","24","0","2"
"34BWO","PC PART","CPU FAN","not set","SAMA Cooler S120 SAMA Cooler S120","not set","0","0","2"
"Z28X9","PC PART","Mother Board","GIGABYTE Board","GIGABYTE Motherboard  H510M H Ultra ","27 Jun 2024","62","0","2"
"RFZQK","PC PART","SSD","SSD M2 PCIe","Samsung SSD NVMe  980 1TB 3.0 Box","not set","0","0","4"
"5BNAH","PC PART","Mother Board","GIGABYTE Board","GIGABYTE  Z690 UD AX DDR4 LGA 1700","not set","0","0","0"
"not set","not set","not set","not set","Intel® Core™ i5-11400 12M Cache, up to 4.3 GHz","not set","0","0","0"
"not set","not set","not set","not set","AMD Ryzen™ 9 7900X 5.6GHz   64MB Cache 12 Core 24T","not set","0","0","0"
"not set","not set","not set","not set"," Dell Inspiron 5410 All-in-One","not set","0","0","0"
"not set","not set","not set","not set"," Dell OptiPlex 5400 All-in-One","not set","0","3","0"
"6S1H9","PC PART","SSD","SSD SATA 3","ADATA SU680 256GB","not set","0","0","5"
"not set","not set","not set","not set","LEVEN JS600 1TB SSD ","not set","0","0","0"
"not set","not set","not set","not set","LEVEN JS600 2TB SSD ","not set","0","0","0"
"not set","not set","not set","not set"," ADATA LEGEND 710 1TB M.2 SSD PCIe","not set","0","0","0"
"not set","not set","not set","not set","XPG SX6000 Pro PCIe 2TB NVMe 3.0x4","not set","0","0","0"
"not set","not set","not set","not set","iMac Retina 5K, 27 2019 99%  i9/128G/1TB SSD","not set","0","0","0"
"not set","not set","not set","not set","iMac Retina 4K 21.5-inch 2017 99% i5/8/1TB","not set","0","0","0"
"50EZ2","USED PC","Fujitsu Desktop","FUJITSU PC Desktop","FUJITSU Desktop Mini Case G3900 | 4GB | 128GB","not set","0","0","1"
"2RK80","USED PC","Lenovo Desktop","ThinkCentre","Lenovo Desktop ThinkCentre i5 | 8GB | 256GB ","not set","0","2","1"
"A2EWM","USED PC","Dell Desktop","Vostro","Dell Vostro Mini Case i5 | 8GB | 256GB ","not set","0","0","2"
"not set","not set","not set","not set","i5 | 8GB | 256GB","not set","0","0","0"
"not set","not set","not set","not set","Dell Latitude E7480 i5 7th/16/512GB","not set","0","0","0"
"not set","not set","not set","not set","Dell Latitude E7480 i7 7th/16/512GB","not set","0","0","0"
"not set","not set","not set","not set","MSI GF63 Thin 11SC i5/8GB/512GB","not set","0","0","0"
"not set","not set","not set","not set","i5 6th | 8GB | 256GB","29 Sep 2023","0","0","2"
"not set","not set","not set","not set","XPG SX6000 Pro PCIe 512GB NVMe","not set","0","0","0"
"not set","not set","not set","not set","Intel® Core™ i3-12100F   12M Cache, up to 4.30 GHz","not set","0","0","0"
"706V4","PC PART","Mother Board","GIGABYTE Board","GIGABYTE  Motherboard H610M H Ultra Durable","not set","0","0","0"
"not set","not set","not set","not set","GIGABYTE Z790 UD AX DDR4 LGA 1700","not set","0","0","0"
"ASF8B","PC PART","RAM","RAM DDR3 / DDR4 Laptop","DDR5 4800MHz LAPTOP 8GB","not set","0","0","0"
"not set","not set","not set","not set","Kingston DataTraveller 64GB","not set","0","15","0"
"not set","not set","not set","not set","MSI PRO H610M-E DDR4 Motherboard","not set","0","12","0"
"9XWBO","ACCESSORIES","Mouse ","Mouse","Logitech  MX Master 3S ","08 Aug 2023","0","0","7"
"not set","not set","not set","not set","SAMSUNG LAPTOP 3200Mhz 8G","not set","0","0","0"
"not set","not set","not set","not set","SAMSUNG LAPTOP 3200Mhz 16G","not set","0","0","0"
"not set","not set","not set","not set","MacBook Pro 15,6 Retina 2017 99% i7/16/256GB","not set","0","0","0"
"not set","not set","not set","not set","Dell Latitude E7490 i7 8th/16GB/256GB","not set","0","0","0"
"not set","not set","not set","not set","Intel® Core™ i5-12400F 18M Cache, up to 4.40 GHz 6","not set","0","0","0"
"not set","not set","not set","not set","Gaming Telson Case","not set","0","0","0"
